RegionID,Full,lat,long,pop,density
394641,"Grants Pass, OR",42.4333,-123.3317,37938,1271
394643,"Great Bend, KS",38.3593,-98.8015,15224,559
394644,"Great Falls, MT",47.5022,-111.2996,62112,985
394645,"Greeley, CO",40.4152,-104.7706,134417,847
394646,"Green Bay, WI",44.5148,-87.9895,214438,887
394647,"Greeneville, TN",36.168,-82.8197,14938,339
394648,"Greensboro, NC",36.0956,-79.8271,343505,877
394649,"Greensburg, IN",39.3518,-85.5028,11221,462
394650,"Greenville, MS",33.385,-91.0514,29854,428
394651,"Greenville, NC",35.5943,-77.376,129374,979
394652,"Greenville, OH",40.1043,-84.6209,12743,739
394653,"Greenville, SC",34.8354,-82.3646,441303,905
394654,"Greenwood, MS",33.5126,-90.1993,13826,432
394655,"Greenwood, SC",34.1947,-82.1542,23351,551
394656,"Grenada, MS",33.7816,-89.813,12349,158
394658,"Gulfport, MS",30.4274,-89.0704,230156,497
394659,"Guymon, OK",36.6903,-101.4774,11381,568
394660,"Peterstown, WV",37.3991,-80.795,752,457
394661,"Hammond, LA",30.5061,-90.4563,75688,565
394662,"Hanford, CA",36.3274,-119.6549,95459,1272
394663,"Hannibal, MO",39.7098,-91.3939,17312,417
394666,"Harrisburg, PA",40.2752,-76.8843,472261,2342
394667,"Harrison, AR",36.2438,-93.1198,13124,452
394668,"Harrisonburg, VA",38.4362,-78.8735,74901,1192
394669,"Hartford, CT",41.7661,-72.6834,918434,2722
394670,"Hastings, NE",40.5961,-98.39,24878,644
394671,"Hattiesburg, MS",31.3074,-89.317,85086,332
394673,"Hays, KS",38.8821,-99.3221,20855,931
394674,"Heber, UT",40.507,-111.3986,16362,702
394675,"Helena, MT",46.5965,-112.0202,32655,749
394677,"Henderson, NC",36.3256,-78.4151,15127,677
394678,"Hereford, TX",34.8225,-102.4001,14692,900
394679,"Hickory, NC",35.741,-81.3223,211042,515
394680,"Hilo, HI",19.6883,-155.0863,45248,325
394681,"Hilton Head Island, SC",32.1896,-80.7499,74248,373
394682,"Gainesville, GA",34.2902,-83.8294,139507,479
394683,"Hobbs, NM",32.7281,-103.16,38475,562
394685,"Homosassa Springs, FL",28.8119,-82.5392,86578,223
394687,"Hood River, OR",45.7092,-121.526,7745,1151
394689,"Hot Springs, AR",34.4892,-93.0501,38697,398
394690,"Houghton, MI",47.1118,-88.5675,7805,683
394691,"Houma, LA",29.58,-90.7059,146665,882
394692,"Houston, TX",29.786,-95.3885,5724418,1394
394693,"Hudson, NY",42.2515,-73.7859,6103,1092
394695,"Huntingdon, PA",40.5,-78.0097,6950,741
394696,"Huntington, IN",40.881,-85.5063,17083,709
394697,"Huntington, WV",38.4109,-82.4345,199133,1098
394698,"Huntsville, AL",34.6981,-86.6412,317279,353
394699,"Huntsville, TX",30.7009,-95.5567,41664,377
394701,"Hutchinson, KS",38.0671,-97.9081,40669,638
394702,"Hutchinson, MN",44.8855,-94.3768,13935,634
394703,"Idaho Falls, ID",43.4871,-112.0362,101326,1004
394704,"Indiana, PA",40.622,-79.1552,13162,2888
394705,"Indianapolis, IN",39.7771,-86.1458,1636763,928
394706,"Indianola, MS",33.4492,-90.6447,9258,417
394707,"Iowa City, IA",41.6559,-91.5303,120928,1144
